ticket_id,station_id,failure_event_id,ticket_type,priority,status,opened_at_utc,closed_at_utc,technician_name,resolution_code,summary
TIC-00022,CF-ST-39949,FLR-00022,corrective,high,closed,2026-02-14T17:18:19.259627+00:00,2026-02-14T22:44:19.259627+00:00,S. Johnson,reboot_controller,Resolved cooling_alarm on port 1.
TIC-00023,CF-ST-46473,FLR-00023,corrective,low,closed,2026-03-21T01:04:19.259627+00:00,2026-03-21T10:02:19.259627+00:00,A. Patel,replace_cable,Resolved breaker_trip on port 6.
TIC-00024,CF-ST-46744,FLR-00024,corrective,medium,closed,2026-03-08T16:42:19.259627+00:00,2026-03-08T22:26:19.259627+00:00,J. Nguyen,reboot_controller,Resolved connector_fault on port 1.
TIC-00025,CF-ST-46974,FLR-00025,corrective,low,closed,2026-02-19T07:05:19.259627+00:00,2026-02-19T15:45:19.259627+00:00,S. Johnson,update_firmware,Resolved cooling_alarm on port 1.
TIC-00026,CF-ST-47594,FLR-00026,corrective,high,closed,2026-03-15T06:02:19.259627+00:00,2026-03-15T11:29:19.259627+00:00,R. Kim,reboot_controller,Resolved payment_reader_error on port 1.
TIC-00027,CF-ST-1531,,preventive,low,closed,2026-03-10T15:22:19.380564+00:00,2026-03-10T15:57:19.380564+00:00,R. Kim,update_firmware,Preventive maintenance inspection completed during low-traffic window.
TIC-00028,CF-ST-7196,,preventive,low,closed,2026-02-14T15:22:19.380570+00:00,2026-02-14T15:58:19.380570+00:00,R. Kim,update_firmware,Preventive maintenance inspection completed during low-traffic window.
TIC-00029,CF-ST-21450,,preventive,low,closed,2026-02-22T15:22:19.380575+00:00,2026-02-22T17:23:19.380575+00:00,R. Kim,reboot_controller,Preventive maintenance inspection completed during low-traffic window.
TIC-00030,CF-ST-21565,,preventive,low,closed,2026-03-05T15:22:19.380578+00:00,2026-03-05T16:53:19.380578+00:00,M. Garcia,reboot_controller,Preventive maintenance inspection completed during low-traffic window.
TIC-00031,CF-ST-25491,,preventive,low,closed,2026-03-05T15:22:19.380582+00:00,2026-03-05T16:32:19.380582+00:00,M. Garcia,update_firmware,Preventive maintenance inspection completed during low-traffic window.
TIC-00032,CF-ST-25516,,preventive,low,closed,2026-03-10T15:22:19.380586+00:00,2026-03-10T17:18:19.380586+00:00,S. Johnson,reset_payment_terminal,Preventive maintenance inspection completed during low-traffic window.
TIC-00033,CF-ST-33183,,preventive,low,closed,2026-02-14T15:22:19.380590+00:00,2026-02-14T16:55:19.380590+00:00,S. Johnson,update_firmware,Preventive maintenance inspection completed during low-traffic window.
TIC-00034,CF-ST-39726,,preventive,low,closed,2026-02-25T15:22:19.380594+00:00,2026-02-25T16:58:19.380594+00:00,S. Johnson,replace_cable,Preventive maintenance inspection completed during low-traffic window.
TIC-00035,CF-ST-39901,,preventive,low,closed,2026-02-27T15:22:19.380599+00:00,2026-02-27T17:00:19.380599+00:00,R. Kim,reset_payment_terminal,Preventive maintenance inspection completed during low-traffic window.
TIC-00036,CF-ST-39922,,preventive,low,closed,2026-03-19T15:22:19.380604+00:00,2026-03-19T16:24:19.380604+00:00,S. Johnson,reboot_controller,Preventive maintenance inspection completed during low-traffic window.
TIC-00037,CF-ST-39947,,preventive,low,closed,2026-03-17T15:22:19.380607+00:00,2026-03-17T16:46:19.380607+00:00,J. Nguyen,reboot_controller,Preventive maintenance inspection completed during low-traffic window.
TIC-00038,CF-ST-43281,,preventive,low,closed,2026-02-16T15:22:19.380611+00:00,2026-02-16T16:33:19.380611+00:00,R. Kim,tighten_terminal,Preventive maintenance inspection completed during low-traffic window.
TIC-00039,CF-ST-44017,,preventive,low,closed,2026-03-28T15:22:19.380615+00:00,2026-03-28T17:15:19.380615+00:00,M. Garcia,reset_payment_terminal,Preventive maintenance inspection completed during low-traffic window.
TIC-00040,CF-ST-46709,,preventive,low,closed,2026-03-26T15:22:19.380618+00:00,2026-03-26T17:10:19.380618+00:00,M. Garcia,replace_cable,Preventive maintenance inspection completed during low-traffic window.
